# Marcador v2 L2CACHE
# n op1 op2
32 20.3275 20.3016
64 20.2965 20.2415
128 20.2637 20.3000
256 20.0217 20.2840
512 20.0066 20.3172
1000 20.0777 20.3357
1500 20.1361 20.3491
2000 20.1892 20.3522
3000 20.2441 20.3567
