# Marcador v1 L3
# n op1 op2
32 3439.3329 344773.5761
64 3185.8106 324878.5186
128 34614.4000 316221.1557
256 39252.7859 312273.2141
512 38456.3767 315185.0317
1000 313615.2275 315575.4538
1500 314345.5436 315103.8226
2000 314933.0615 315219.3234
3000 314767.6363 315080.2151
