# Marcador v1 L2CACHE
# n op1 op2
32 20.3108 20.3034
64 20.0500 20.3076
128 20.2213 20.3598
256 20.3868 20.3363
512 20.3898 20.3083
1000 20.3241 20.3051
1500 20.3132 20.3058
2000 20.3083 20.3060
3000 20.2456 20.2475
