# Marcador v1 FLOPS_DP-AVX
# n op1 op2
32 1157.6072 1202.0210
64 1024.8836 1351.8722
128 878.8391 1400.8012
256 738.0260 1090.4353
512 675.6668 938.4590
1000 642.2360 977.7720
1500 631.6254 943.1725
2000 629.3799 941.2183
3000 624.0332 941.3022
