# Marcador v2 FLOPS_DP
# n op1 op2
32 1848.5289 977.2952
64 2301.5581 1607.3569
128 2595.7273 1912.4800
256 2638.1202 2290.3463
512 2633.1326 1952.8166
1000 2834.6022 2793.3481
1500 2811.0909 2853.0667
2000 2823.9780 2801.2057
3000 2779.7211 2614.4930
