# Marcador v1 FLOPS_DP
# n op1 op2
32 3258.4085 2381.2765
64 2974.2095 2686.8460
128 2593.1886 2791.7615
256 2196.7282 2176.8265
512 2020.0905 1875.1315
1000 1924.3646 1954.5790
1500 1894.0336 1885.7218
2000 1888.0312 1881.9691
3000 1872.7177 1882.2920
