# Marcador v2 Tempo
# n op1 op2
32 0.00038199 8.5406e-05
64 0.00049247 8.5396e-05
128 0.00071477 8.6134e-05
256 0.001201 8.5914e-05
512 0.0021436 8.8336e-05
1000 0.0038185 8.9161e-05
1500 0.0056757 9.1582e-05
2000 0.007638 0.00010168
3000 0.011447 0.0001036
