# Marcador v1 Tempo
# n op1 op2
32 0.00051665 9.1618e-05
64 0.0014946 8.8665e-05
128 0.0060762 8.9622e-05
256 0.027333 0.00014608
512 0.1183 0.00035523
1000 0.47118 0.0011199
1500 1.0757 0.002476
2000 1.9229 0.0043481
3000 4.3514 0.0096552
