# Marcador v2 FLOPS_DP-AVX
# n op1 op2
32 528.4709 267.2944
64 645.2876 434.0542
128 721.0146 513.2022
256 729.4579 612.6736
512 726.4394 521.5660
1000 781.1665 745.4892
1500 774.3915 761.2238
2000 777.7933 747.2871
3000 765.4579 697.3841
