# Marcador v2 L3
# n op1 op2
32 3878.3286 372810.4225
64 3592.5065 357808.5853
128 3332.0628 336085.9821
256 3285.1826 335281.7956
512 3181.4705 325277.2644
1000 3495.2890 325539.6904
1500 34458.9157 324036.2645
2000 37762.7318 324200.3460
3000 312652.7051 325286.2500
