# Marcador v2 FLOPS_DP
# n op1 op2
32 1917.6273 1036.7939
64 2480.8450 1509.2066
128 2880.7841 1801.3386
256 2971.4616 2355.7350
512 3004.5638 2499.6240
1000 3174.5198 2928.8955
