# Marcador v2 FLOPS_DP-AVX
# n op1 op2
32 1085.1024 315.1112
64 1393.1711 507.5817
128 1626.7938 671.0241
256 1747.8879 846.8233
512 1732.0030 847.1072
1000 1786.6769 1000.4249
2000 1796.0087 1033.3233
4000 1773.8379 940.9039
8000 1742.6868 959.5538
