# Marcador v2 Tempo
# n op1 op2
32 0.00037956 8.493e-05
64 0.00048434 8.6371e-05
128 0.00067596 8.4775e-05
256 0.0011618 8.6683e-05
512 0.0019793 8.7787e-05
1000 0.0035663 9.1264e-05
