# Marcador v1 FLOPS_DP-AVX
# n op1 op2
32 1157.2489 1326.1482
64 1024.7153 1407.9892
128 876.1293 1375.5010
256 736.1100 1081.9329
512 674.9062 981.7683
1000 641.3423 978.8445
