# Marcador v2 L3
# n op1 op2
32 3718.6048 379663.1485
64 3496.0609 337951.7650
128 3314.0341 351406.6970
256 3203.9350 337067.5133
512 3158.0394 327245.6985
1000 32042.9965 324858.9215
