# Marcador v2 Tempo
# n op1 op2
32 0.00039333 8.4674e-05
64 0.00052537 8.7203e-05
128 0.00077054 8.5168e-05
256 0.0012633 8.5639e-05
512 0.0023077 8.7145e-05
1000 0.0042787 9.0002e-05
