# Marcador v1 L3
# n op1 op2
32 3446.0560 341295.6276
64 3188.0283 325400.6231
128 34841.5619 315327.8033
256 39107.3104 311362.8334
512 38442.2758 315034.4138
1000 312906.2698 315574.4399
