# Marcador v2 FLOPS_DP
# n op1 op2
32 1682.6354 978.6168
64 2062.7141 1414.9636
128 2163.3339 2037.0872
256 2491.8741 2370.0952
512 2449.9246 2519.6269
1000 2539.2450 3004.2802
