# Marcador v1 FLOPS_DP
# n op1 op2
32 3257.3999 2626.6999
64 2973.7210 2798.3119
128 2585.1930 2741.3306
256 2191.0250 2159.8524
512 2017.8163 1961.6676
1000 1921.6870 1956.7228
