# Marcador v1 Tempo
# n op1 op2
32 0.00051386 0.00018585
64 0.0014979 0.00018357
128 0.0060098 0.00017648
256 0.02736 0.00024224
512 0.11836 0.00045525
1000 0.47174 0.001212
