# Marcador v2 FLOPS_DP-AVX
# n op1 op2
32 559.9289 337.8339
64 671.2491 483.4788
128 696.5008 692.5156
256 798.0846 803.6812
512 782.6176 853.3051
1000 808.0702 1014.3358
