# Marcador op2 Tempo
# n sem_otimz. com_otimiz.
32 1.029762e-06
64 2.941381e-06
128 1.181280e-05
256 0.0001
512 0.0004
1000 0.0014
2000 0.0044
4000 0.0171
8000 0.0690
