# Marcador v1 FLOPS_DP-AVX
# n op1 op2
32 1156.7972 1210.9424
64 1025.8147 1424.7215
128 878.8374 1402.1641
256 740.2580 1097.9640
512 675.0886 979.4160
1000 641.2961 978.0925
2000 626.4040 943.7769
4000 622.0610 939.8393
8000 619.2843 929.2072
