# Marcador v1 L3
# n op1 op2
32 3482.0942 347066.2290
64 3173.9730 325546.8678
128 35337.0144 316456.8025
256 39083.6060 312923.5226
512 38468.1455 315093.2410
1000 313461.0990 315564.1727
2000 314896.4308 314925.4256
4000 314404.4067 315063.5064
8000 313712.2605 314973.9704
