# Marcador v1 Tempo
# n op1 op2
32 0.000516 0.00018573
64 0.0014885 0.00018423
128 0.0060528 0.00017957
256 0.027561 0.00027159
512 0.11816 0.00045861
1000 0.47176 0.0012481
2000 1.9182 0.0045316
4000 7.7509 0.017224
8000 31.111 0.068737
