# Marcador v2 Tempo
# n op1 op2
32 0.00037599 8.3643e-05
64 0.00047818 0.00014372
128 0.00067924 8.5951e-05
256 0.0010954 8.7419e-05
512 0.0019086 8.8167e-05
1000 0.0035937 9.1468e-05
2000 0.0069853 9.6763e-05
4000 0.013853 0.00011095
8000 0.027684 0.00013502
