# Marcador v2 L3
# n op1 op2
32 3886.2699 353828.7274
64 3555.8631 364616.1845
128 3369.5272 339689.6232
256 3390.7013 335928.8977
512 3423.6435 325174.7390
1000 34913.8645 325999.6460
2000 37942.1447 322211.8744
4000 317833.5247 324425.4468
8000 322006.8774 327977.1210
