# Marcador v1 L2CACHE
# n op1 op2
32 20.2205 20.3077
64 20.0185 20.3324
128 20.2008 20.3643
256 20.3867 20.3587
512 20.3884 20.3046
1000 20.3290 20.3051
2000 20.3084 20.3065
4000 20.2451 20.2474
8000 20.2429 20.2478
