# Marcador v1 FLOPS_DP-SSE
# n op1 op2
32 3272.2127 2320.8119
64 2827.1317 2789.2855
128 2555.5093 2732.9774
256 2206.6336 2217.9161
512 2017.7787 1745.5094
1000 1922.3452 1885.9591
2000 1872.0147 1820.7785
4000 1871.9025 1878.8565
8000 1860.8126 1864.8289
