# Marcador v1 FLOPS_DP-AVX
# n op1 op2
32 1162.5114 1171.4997
64 974.2021 1403.4141
128 866.0694 1371.3056
256 741.3539 1111.0182
512 674.8936 873.5862
1000 641.5620 943.4451
2000 624.0407 910.6154
4000 623.6405 939.5454
8000 619.7653 932.4727
