# Marcador v1 Tempo
# n op1 op2
32 0.00051589 8.5166e-05
64 0.0015317 8.8281e-05
128 0.0061002 9.4466e-05
256 0.027379 0.00014593
512 0.11835 0.00036456
1000 0.4793 0.0011202
2000 1.9256 0.0043845
4000 7.7527 0.017122
8000 31.094 0.069431
