# Marcador v2 L2CACHE
# n op1 op2
32 20.2519 20.2726
64 20.2485 20.2819
128 20.2037 20.3017
256 20.0261 20.3013
512 20.0622 20.3223
1000 20.0965 20.3406
2000 20.1354 20.3534
4000 20.2760 20.3652
8000 20.3335 20.3339
