# Marcador v1 L3
# n op1 op2
32 3470.8402 355751.6670
64 31550.1610 325456.9492
128 35361.6447 316201.2725
256 39223.0068 312082.9839
512 38484.0038 315004.3384
1000 312281.9126 315552.0970
2000 314823.7201 315101.7125
4000 314401.5149 315081.7377
8000 313645.6604 314774.7330
