# Marcador v1 Tempo
# n op1 op2
32 0.00050587 8.3457e-05
64 0.0014888 8.6712e-05
128 0.0060611 9.1214e-05
256 0.027411 0.00014902
512 0.11854 0.0003544
1000 0.47425 0.001155
1500 1.075 0.0024748
2000 1.9266 0.0043343
3000 4.3436 0.0096547
