# Marcador v1 FLOPS_DP
# n op1 op2
32 3260.8146 2562.7343
64 2972.4926 2857.7453
128 2566.1352 2747.8451
256 2203.3043 2239.2862
512 2017.4967 1973.0205
1000 1927.3456 1953.9454
1500 1892.8741 1886.6781
2000 1879.9703 1881.5801
3000 1871.7918 1883.7538
