# Marcador v1 FLOPS_DP-AVX
# n op1 op2
32 1158.4620 1293.6173
64 1024.2920 1437.8592
128 869.6706 1378.7656
256 740.2354 1121.7231
512 674.7993 987.4501
1000 643.2308 977.4551
1500 631.2387 943.6509
2000 626.6928 941.0238
3000 623.7247 942.0332
