# Marcador v2 L2CACHE
# n op1 op2
32 20.2442 20.2677
64 20.2511 20.2752
128 20.2160 20.2949
256 20.0354 20.3043
512 20.0082 20.3206
1000 20.0313 20.3435
1500 20.1111 20.3488
2000 20.1507 20.3564
3000 20.2391 20.3456
