# Marcador v2 Tempo
# n op1 op2
32 0.00044278 8.7566e-05
64 0.0004949 8.7205e-05
128 0.00071406 9.1361e-05
256 0.0011857 0.0001261
512 0.0021415 8.9187e-05
1000 0.0038296 8.9515e-05
1500 0.0057237 9.3084e-05
2000 0.0075406 9.599e-05
3000 0.011428 0.00010333
