# Marcador v2 FLOPS_DP-AVX
# n op1 op2
32 406.9464 258.4266
64 546.8805 378.9957
128 654.4519 533.9334
256 763.9234 585.1429
512 771.8529 611.0653
1000 778.0516 732.0372
1500 769.8056 745.3512
2000 776.5108 719.4057
3000 767.6860 674.8519
