# Marcador v2 L3
# n op1 op2
32 3914.5486 375264.1204
64 3561.6864 350542.3122
128 3365.0725 348982.2283
256 3252.4633 338162.0212
512 3180.8500 329592.2425
1000 3699.5277 327140.0991
1500 32416.1261 324750.2458
2000 38866.8516 324536.5619
3000 313043.7823 324099.5636
