# Marcador v1 L3
# n op1 op2
32 3475.6308 350128.0271
64 3184.2842 327113.2688
128 34093.1661 316045.1525
256 39083.4718 312196.3374
512 38575.9111 315248.9140
1000 312741.4701 315007.5684
1500 314310.2431 315094.2880
2000 314869.4547 315282.5298
3000 314791.0467 315089.8582
