# Marcador v2 FLOPS_DP
# n op1 op2
32 1443.2920 944.8724
64 1963.8886 1403.4685
128 2364.2905 1989.7362
256 2767.8799 2187.4286
512 2800.6769 2287.9144
1000 2829.9241 2742.9435
1500 2805.3464 2793.5761
2000 2825.3602 2696.6923
3000 2793.5934 2530.0197
