# Marcador v1 L2CACHE
# n op1 op2
32 20.1855 20.2898
64 20.0744 20.3096
128 20.2591 20.3645
256 20.3861 20.3156
512 20.3885 20.3087
1000 20.3246 20.3050
1500 20.3124 20.3061
2000 20.3084 20.3058
3000 20.2456 20.2467
