# Marcador v1 L3
# n op1 op2
32 3577.2311 337556.0813
64 31806.8585 315232.1412
128 35980.6569 313984.3893
256 38188.1562 312205.5504
512 310252.0130 312159.4714
1000 312285.9173 312893.0938
