# Marcador v2 Tempo
# n op1 op2
32 0.00072495 0.0001169
64 0.0011989 0.00011996
128 0.0038495 0.00016845
256 0.013186 0.00043384
512 0.052278 0.0010501
1000 0.20413 0.0033147
