# Marcador v1 FLOPS_DP-SSE
# n op1 op2
32 1704.2385 1455.3594
64 2285.0135 2017.3589
128 2102.8878 1193.8073
256 1846.0571 1579.1554
512 1587.8057 1461.2758
1000 1596.0235 1675.3391
