# Marcador v2 FLOPS_DP-SSE
# n op1 op2
32 1585.3001 336.8332
64 1959.5775 368.0339
128 1861.6398 418.9670
256 1694.3156 777.0159
512 1615.4527 765.9878
1000 1392.2121 482.3796
