# Marcador v1 Tempo
# n op1 op2
32 0.00077385 1.035e-06
64 0.002445 4.401e-06
128 0.0076492 1.7046e-05
256 0.032285 7.5348e-05
512 0.15253 0.00032747
1000 0.57379 0.001222
