# Marcador v2 L3
# n op1 op2
32 3592.6901 34390.4583
64 3533.8054 33243.6672
128 33443.2076 3815.8688
256 37714.2208 3466.7879
512 38306.4899 31102.6371
1000 311470.4173 3303.0134
