# Marcador v2 FLOPS_DP-AVX
# n op1 op2
32 1077.8830 357.9176
64 1396.0131 515.6806
128 1621.9152 612.3719
256 1673.3938 798.8118
512 1692.2479 846.5309
1000 1785.5776 988.8837
