# Marcador v2 L3
# n op1 op2
32 3869.2083 379983.0299
64 3616.8548 349854.1365
128 3388.9542 344578.4639
256 3326.8755 336975.1481
512 3924.8518 326110.9716
1000 32388.0352 325995.7603
